,movie_title,year,place,star_cast,rating,director
0,The Shawshank Redemption,1994-01-01,1," Tim Robbins,  Morgan Freeman",9.234676668676816,Frank Darabont
1,The Godfather,1972-01-01,2," Marlon Brando,  Al Pacino",9.156559604388365,Francis Ford Coppola
2,The Dark Knight,2008-01-01,3," Christian Bale,  Heath Ledger",8.987413435444642,Christopher Nolan
3,The Godfather Part II,1974-01-01,4," Al Pacino,  Robert De Niro",8.984567011713153,Francis Ford Coppola
4,12 Angry Men,1957-01-01,5," Henry Fonda,  Lee J. Cobb",8.949254487261411,Sidney Lumet
5,Schindler's List,1993-01-01,6," Liam Neeson,  Ralph Fiennes",8.936330223063619,Steven Spielberg
6,The Lord of the Rings: The Return of the King,2003-01-01,7," Elijah Wood,  Viggo Mortensen",8.923449061653471,Peter Jackson
7,Pulp Fiction,1994-01-01,8," John Travolta,  Uma Thurman",8.849681368311055,Quentin Tarantino
8,The Lord of the Rings: The Fellowship of the Ring,2001-01-01,9," Elijah Wood,  Ian McKellen",8.804886724395816,Peter Jackson
9," Il buono, il brutto, il cattivo",1966-01-01,1," Clint Eastwood,  Eli Wallach",8.792684704768735,Sergio Leone
10,Forrest Gump,1994-01-01,11," Tom Hanks,  Robin Wright",8.767691375957684,Robert Zemeckis
11,Fight Club,1999-01-01,12," Brad Pitt,  Edward Norton",8.749236740502441,David Fincher
12,Inception,2010-01-01,13," Leonardo DiCaprio,  Joseph Gordon-Levitt",8.73301454400285,Christopher Nolan
13,The Lord of the Rings: The Two Towers,2002-01-01,14," Elijah Wood,  Ian McKellen",8.729600094313682,Peter Jackson
14,The Empire Strikes Back,1980-01-01,15," Mark Hamill,  Harrison Ford",8.701361680497918,Irvin Kershner
15,The Matrix,1999-01-01,16," Keanu Reeves,  Laurence Fishburne",8.670551548806692,Lana Wachowski
16,Goodfellas,1990-01-01,17," Robert De Niro,  Ray Liotta",8.652583410857844,Martin Scorsese
17,One Flew Over the Cuckoo's Nest,1975-01-01,18," Jack Nicholson,  Louise Fletcher",8.640348499704713,Milos Forman
18,Se7en,1995-01-01,19," Morgan Freeman,  Brad Pitt",8.604380868705547,David Fincher
19,Shichinin no samurai,1954-01-01,20," Toshirô Mifune,  Takashi Shimura",8.598959171128037,Akira Kurosawa
20,It's a Wonderful Life,1946-01-01,21," James Stewart,  Donna Reed",8.596897768940568,Frank Capra
21,The Silence of the Lambs,1991-01-01,22," Jodie Foster,  Anthony Hopkins",8.588326381706832,Jonathan Demme
22,Cidade de Deus,2002-01-01,23," Alexandre Rodrigues,  Leandro Firmino",8.579005306125259,Fernando Meirelles
23,Saving Private Ryan,1998-01-01,24," Tom Hanks,  Matt Damon",8.578601635415591,Steven Spielberg
24,La vita è bella,1997-01-01,25," Roberto Benigni,  Nicoletta Braschi",8.566329171472697,Roberto Benigni
25,The Green Mile,1999-01-01,26," Tom Hanks,  Michael Clarke Duncan",8.560777069305743,Frank Darabont
